recent_best_eplen,best_ext_ret,n_updates,eprew,recent_best_ext_ret,eprew_std,best_eplen,eplen,eprew_recent,eplen_std,epcount,total_secs,tcount,recent_worst_eplen,rew_mean
55,125.225,71,19.125,23.6875,1.305038314,52,55,19.19639757,0,82592,27755.16366,4542557,55,0.3571368
55,125.225,72,19.840625,23.6875,1.224501652,52,55,19.29032939,0,83776,28140.64984,4607677,55,0.35751724
53,125.225,73,19.496875,125.175,1.414969495,52,55,19.57664931,0,84928,28527.34698,4671035,55,0.36171043
55,125.225,74,18.890625,24.625,1.281916747,52,55,19.77446832,0,86080,28918.24241,4734395,55,0.37163875
55,125.225,75,18.75625,23.6875,1.668632955,52,55,19.65851985,0,87264,29306.05554,4799515,55,0.36040565
55,125.225,76,20.365625,24,1.673352151,52,55,19.62174479,0,88416,29698.09424,4862875,55,0.36653313
55,125.225,77,19.296875,24,1.332712665,52,55,19.95835139,0,89570,30089.56206,4926345,55,0.3716626
55,125.225,78,19.784375,24.625,1.616259547,52,55,19.50259095,0,90752,30475.2952,4991355,55,0.3570162
55,125.225,79,19.915625,23.375,1.342117468,52,55,19.39469401,0,91904,30868.76865,5054715,55,0.3624336
55,125.225,80,20.24375,24.3125,1.56373701,52,55,19.95201647,0,93088,31262.91128,5119835,55,0.3722386
55,125.225,81,19.459375,24,1.16042742,52,55,19.90874566,0,94240,31654.43333,5183195,55,0.36731523
55,125.225,82,19.753125,23.6875,1.686976192,52,55,19.92203776,0,95392,32047.10118,5246555,55,0.37182435
55,125.225,83,19.878125,24,1.446098604,52,55,19.69415118,0,96576,32438.12108,5311675,55,0.36428407
55,125.225,84,20.334375,23.375,1.398838106,52,55,19.88189019,0,97728,32829.82089,5375035,55,0.36791858
55,125.225,85,19.45,23.375,1.174534482,52,55,19.42127821,0,98880,33219.89637,5438395,55,0.36378488
55,125.225,86,18.915625,24.3125,1.449579007,52,55,19.6286951,0,100064,33610.25004,5503515,55,0.3612075
55,125.225,87,20.54375,24.625,1.696630392,52,55,19.84906684,0,101216,34000.94608,5566875,55,0.37019074
55,125.225,88,19.7,24.3125,1.381462088,52,55,19.93560442,0,102370,34392.56506,5630345,55,0.37278494
55,125.225,89,20.796875,24.3125,1.261180468,52,55,19.91529188,0,103552,34778.96856,5695355,55,0.36391363
55,125.225,90,19.603125,24,1.186064099,52,55,19.81597222,0,104704,35169.70485,5758715,55,0.37051922
55,125.225,91,19.128125,24.3125,1.104938311,52,55,20.05415963,0,105888,35557.62842,5823835,55,0.37379682
55,125.225,92,20.990625,24.3125,1.129898191,52,55,19.97357856,0,107040,35946.53339,5887195,55,0.36891007
55,125.225,93,19.471875,24.3125,1.428295942,52,55,20.00531684,0,108192,36336.86299,5950555,55,0.37381268
55,125.225,94,19.475,24,1.056490357,52,55,20.0222234,0,109376,36724.79536,6015675,55,0.36989576
55,125.225,95,19.346875,23.6875,0.946720284,52,55,19.94726563,0,110528,37113.85976,6079035,55,0.36817247
55,125.225,96,18.925,23.6875,1.260208316,52,55,19.95784505,0,111680,37506.4271,6142395,55,0.37509355
55,125.225,97,20.275,24.9375,1.348233798,52,55,20.07052365,0,112864,37893.6922,6207515,55,0.3690919
55,125.225,98,20.459375,24.9375,1.951088939,52,55,20.19411892,0,114016,38279.81533,6270875,55,0.37658185
55,125.225,99,20.690625,24.3125,1.492883509,52,55,19.91258666,0,115170,38671.05283,6334345,55,0.37200412
55,125.225,100,20.36875,23.6875,1.182373804,52,55,19.93935068,0,116352,39056.97041,6399355,55,0.3652377
55,125.225,101,20.2375,24.3125,1.0047932,52,55,19.98225911,0,117504,39449.17157,6462715,55,0.37293383
55,125.225,102,19.1,24.9375,1.609833066,52,55,20.00585938,0,118688,39836.65786,6527835,55,0.37396
55,125.225,103,18.7125,24,1.126457389,52,55,19.71695964,0,119840,40224.78375,6591195,55,0.3643016
55,125.225,104,20.75,24.625,1.61172462,52,55,20.12196181,0,120992,40618.28352,6654555,55,0.37640566
55,125.225,105,21.06875,24,1.390382704,52,55,20.16342905,0,122176,41007.93248,6719675,55,0.3725008
55,125.225,106,19.821875,23.375,1.084023718,52,55,19.61631944,0,123328,41398.26843,6783035,55,0.36344734
