n_updates,recent_best_eplen,eplen,recent_best_ext_ret,best_ext_ret,best_eplen,rew_mean,recent_worst_eplen,epcount,tcount,eplen_std,eprew,eprew_recent,eprew_std,total_secs
136,55,55.0,22.59375,24.15625,55,0.14437981,55,316480.0,17406400.0,0.0,10.9446875,7.860365125868055,5.125188363535408,105053.08178329468
137,55,55.0,21.8125,24.15625,55,0.15414494,55,318784.0,17533120.0,0.0,8.8040625,8.168836805555555,4.258240758279028,105828.78570580482
138,55,55.0,23.375,24.15625,55,0.15023458,55,321152.0,17663360.0,0.0,12.7309375,8.08666332347973,3.5269827507685303,106595.95735812187
139,55,55.0,21.8125,24.15625,55,0.1433901,55,323456.0,17790080.0,0.0,5.436875,7.706814236111111,1.7918433900246422,107365.37715935707
140,55,55.0,21.8125,24.15625,55,0.14947855,55,325760.0,17916800.0,0.0,9.434375,7.912882486979167,4.135921857261692,108136.44002771378
141,55,55.0,21.03125,24.15625,55,0.15042117,55,328128.0,18047040.0,0.0,6.4921875,8.143383129222974,2.887623018889195,108904.1168680191
142,55,55.0,20.25,24.15625,55,0.14573582,55,330432.0,18173760.0,0.0,7.6234375,7.810885959201389,3.232486994245878,109673.55684685707
143,55,55.0,18.6875,24.15625,55,0.14310811,55,332736.0,18300480.0,0.0,6.695,7.485785590277778,3.228907274528025,110439.3028793335
144,55,55.0,24.9375,24.9375,55,0.15593442,55,335104.0,18430720.0,0.0,8.0384375,8.560098184121621,3.7066000440725655,111204.34581065178
145,55,55.0,21.8125,24.9375,55,0.15422472,55,337408.0,18557440.0,0.0,8.869375,8.22243923611111,4.164895566292749,111974.43293714523
146,55,55.0,21.8125,24.9375,55,0.14712933,55,339776.0,18687680.0,0.0,9.8453125,7.8610641891891895,3.6626609792907048,112744.71566653252
147,55,55.0,24.15625,24.9375,55,0.13529825,55,342080.0,18814400.0,0.0,11.045,7.324476453993055,4.561631595438193,113506.4499194622
148,55,55.0,21.8125,24.9375,55,0.14846544,55,344384.0,18941120.0,0.0,7.44125,7.7911376953125,3.0513069689478964,114279.87632489204
