epcount,tcount,eprew,eplen_std,eplen_recent_best,wait_step,rets_ext,eplen,eprew_best,eprew_recent_best,rets_int,time_elapsed,wait_policy_inference,eplen_best,eplen_histmean,eprew_std,eprew_histmean,wait_update,n_updates
106493,13888616,95.49714535391786,5.9608216222455574,64,351.3093776702881,71.10608,76.39906787066705,100.5,100.5,0.5321757,21242.148281097412,17.615779876708984,64,75.9,3.7408255390363596,95.728,217.3094367980957,53
109952,14150493,95.80601329864123,5.162629451361584,64,353.97045516967773,71.44905,75.70887539751374,100.5,100.5,0.5188997,21596.156608581543,17.67236065864563,64,75.8,2.0878241801650708,95.78900000000002,219.03538751602173,54
113461,14412914,96.1758335708179,5.431927596150795,63,353.5392961502075,71.46614,74.78512396694215,101.0,101.0,0.53431576,21949.72732257843,17.60800838470459,63,74.52,2.186568150212021,96.28500000000003,219.477872133255,55
116996,14675298,96.40424328147101,4.944319639910417,64,353.43647956848145,72.25353,74.22461103253183,101.0,100.5,0.53356653,22303.189722299576,17.67220187187195,63,73.61,1.990072699572449,96.64199999999997,218.84123849868774,56
120563,14936938,96.7546958228203,4.937786693516498,63,355.11422657966614,72.63332,73.35015419119708,101.0,101.0,0.5332228,22658.32979106903,17.85052180290222,63,73.3,1.9921558286940717,96.726,221.53629446029663,57
124185,15200277,97.01529541689675,4.739447400409785,63,356.38411712646484,73.49732,72.70541137493097,101.0,101.0,0.533801,23014.733175754547,17.656378269195557,63,73.48,1.9067632710176166,96.71400000000001,221.86151695251465,58
127812,15461733,97.23371932726772,5.4448423851827314,62,354.9113893508911,73.46176,72.08602150537635,101.3,101.3,0.5208689,23369.68249106407,17.625383377075195,62,72.29,3.5579253335158354,97.197,221.963116645813,59
131483,15723654,97.55952056660311,4.856807983624344,62,349.73927187919617,74.0891,71.34867883410514,101.3,101.3,0.51366174,23719.446021795273,17.4656023979187,62,70.55,1.9604899317760511,97.859,216.4758608341217,60
135189,15986240,97.72096600107933,5.625075805295865,62,356.7569692134857,74.33776,70.8542903399892,101.4,101.4,0.5187976,24076.365572690964,17.554182291030884,62,70.29,3.611871090493577,97.976,222.527738571167,61
138918,16248085,98.0074014481094,4.5329719572068115,60,355.8622417449951,75.03604,70.21855725395548,102.1,102.1,0.49700853,24432.249896764755,17.675276041030884,60,70.49,1.823139880501663,97.90700000000001,219.60345196723938,62
142679,16510682,98.13727731986174,5.516178910821263,62,352.2547867298126,75.26746,69.82105822919436,102.1,101.4,0.49447134,24784.52734518051,17.613038539886475,60,69.91,3.5984003994358056,98.13099999999999,219.56086444854736,63
146473,16772714,98.47714812862414,4.173366414579927,61,352.55327343940735,74.85447,69.06483921982077,102.1,101.7,0.503241,25137.111219882965,17.68936848640442,60,68.75,1.673238831528756,98.597,219.1025071144104,64
150281,17034829,98.54109768907563,5.054026470526862,61,353.67905497550964,74.915115,68.83272058823529,102.1,101.8,0.49941257,25490.80602145195,17.65681743621826,60,68.78,3.41505864968568,98.59100000000001,218.84652853012085,65
154116,17297085,98.71788787483702,4.927847665236573,61,351.97463393211365,74.873375,68.38487614080834,102.1,101.8,0.4950723,25842.819758176804,18.020492553710938,60,69.22,3.412401376304981,98.395,217.61936974525452,66
157982,17559469,98.89906880496638,5.673617593348887,61,355.1720218658447,75.40848,67.8696326952923,102.1,101.8,0.48471203,26198.010672092438,17.617950677871704,60,67.1,4.527510226199825,99.27099999999999,220.26262712478638,67
161865,17820971,99.16618593870719,4.094803764715948,60,356.6187114715576,75.76328,67.34535153232036,102.1,102.1,0.47562668,26554.675126791,17.670196771621704,60,67.8,1.6456820575050608,98.984,223.12064218521118,68
165784,18083874,99.24378668027558,5.746721272498401,60,354.5498504638672,76.33133,67.08420515437612,102.2,102.2,0.4740712,26909.22221827507,17.58829355239868,60,66.69,3.5643319016320953,99.441,220.11254477500916,69
