policy_loss,nupdates,curbestlen,eplenmean,fps,time_elapsed,eprewmean,total_timesteps,curbestrew,explained_variance,policy_entropy,clipfrac,serial_timesteps,approxkl,epbestlen,value_loss,epbestrew
-7.619859e-05,107,2000,2000.0,1099,25853.65155172348,-195.12,28049408,-194.0,0.6858100295066833,1.5666754,0.016831398,219136,0.0007310246,2000,6.3708396,-152.0
-2.764943e-05,108,2000,2000.0,1096,26092.715472221375,-195.16,28311552,-194.0,0.6851293444633484,1.5527027,0.016716957,221184,0.00060077204,2000,6.2646203,-152.0
-5.972405e-05,109,2000,2000.0,1080,26335.23617696762,-195.14,28573696,-194.0,0.6724852025508881,1.5488077,0.015253067,223232,0.0007040711,2000,5.993151,-152.0
0.00023206277,110,2000,2000.0,1098,26573.948850154877,-195.06,28835840,-194.0,0.671332597732544,1.5489899,0.07068539,225280,0.0015737697,2000,5.842851,-152.0
-4.9816408e-05,111,2000,2000.0,1104,26811.207890987396,-195.18,29097984,-194.0,0.6711529493331909,1.5395691,0.017689705,227328,0.00068044633,2000,5.8469124,-152.0
-6.940441e-05,112,2000,2000.0,1091,27051.456382989883,-195.06,29360128,-194.0,0.676435649394989,1.5695552,0.020328522,229376,0.0012557525,2000,5.680722,-152.0
5.128877e-07,113,2000,2000.0,1101,27289.409626483917,-195.08,29622272,-194.0,0.6781944632530212,1.5742598,0.02752781,231424,0.0012858012,2000,6.1939726,-152.0
1.7758179e-05,114,2000,2000.0,1104,27526.806213378906,-195.22,29884416,-194.0,0.6786852478981018,1.5878116,0.018964767,233472,0.0014070714,2000,6.052987,-152.0
-2.2758257e-05,115,2000,2000.0,1085,27768.36997628212,-195.02,30146560,-194.0,0.664372444152832,1.5958474,0.018776894,235520,0.0010677277,2000,6.6915536,-152.0
-4.1607113e-05,116,2000,2000.0,1070,28013.331299066544,-195.02,30408704,-194.0,0.6995021402835846,1.5890247,0.023880005,237568,0.0012910018,2000,5.888657,-152.0
-6.712186e-05,117,2000,2000.0,1063,28259.829949617386,-195.1,30670848,-194.0,0.6981256604194641,1.5911953,0.018853188,239616,0.001231997,2000,5.837493,-152.0
3.6490845e-05,118,2000,2000.0,1074,28503.710252523422,-195.02,30932992,-194.0,0.6926822364330292,1.5861622,0.011463165,241664,0.00088206085,2000,5.8122525,-152.0
-0.00019268473,119,2000,2000.0,1080,28746.395401239395,-195.18,31195136,-194.0,0.688832551240921,1.5900651,0.016117096,243712,0.0014746864,2000,5.7683697,-152.0
-7.32956e-05,120,2000,2000.0,1088,28987.21918606758,-194.96,31457280,-194.0,0.6788352727890015,1.5860248,0.01468277,245760,0.0013448019,2000,6.112269,-152.0
-3.435159e-05,121,2000,2000.0,1091,29227.481635570526,-195.12,31719424,-194.0,0.6842246055603027,1.5801048,0.0072078705,247808,0.0007516792,2000,5.9240675,-152.0
-2.1782864e-05,122,2000,2000.0,1095,29466.728824853897,-194.98,31981568,-194.0,0.6701169312000275,1.5821007,0.011791229,249856,0.0011007607,2000,6.146716,-152.0
-0.00011378253,123,2000,2000.0,1082,29708.811016082764,-195.04,32243712,-194.0,0.6683065593242645,1.5819478,0.032136917,251904,0.0011867858,2000,5.8078985,-152.0
-0.00014409397,124,2000,2000.0,1094,29948.270307064056,-195.14,32505856,-194.0,0.6652762293815613,1.5869361,0.013301849,253952,0.001079754,2000,5.8845415,-152.0
-0.00013795486,125,2000,2000.0,1068,30193.593720436096,-195.08,32768000,-194.0,0.6318573355674744,1.585797,0.03565979,256000,0.0011219785,2000,6.4079485,-152.0
3.5560013e-05,126,2000,2000.0,1077,30436.9731426239,-195.04,33030144,-194.0,0.6754695773124695,1.5778141,0.038256645,258048,0.0013961502,2000,6.1546364,-152.0
-9.8050215e-05,127,2000,2000.0,1081,30679.32330942154,-195.32,33292288,-194.0,0.6531732976436615,1.5819036,0.021792412,260096,0.001171953,2000,5.8548093,-152.0
0.00017315296,128,2000,2000.0,1081,30921.669778108597,-195.1,33554432,-194.0,0.6285558342933655,1.5838948,0.04692936,262144,0.0011700216,2000,5.9669366,-152.0
2.7426755e-05,129,2000,2000.0,1080,31164.206098794937,-195.16,33816576,-194.0,0.5942084491252899,1.5825949,0.052659035,264192,0.0016424656,2000,6.6143312,-152.0
-0.000248876,130,2000,2000.0,1092,31404.209916353226,-195.28,34078720,-194.0,0.5570610761642456,1.5834118,0.01821804,266240,0.0014695826,2000,5.849569,-152.0
-0.00010241294,131,2000,2000.0,1088,31644.964956998825,-195.08,34340864,-194.0,0.5576092898845673,1.5803169,0.025119781,268288,0.00077737606,2000,5.9777336,-152.0
4.7207694e-05,132,2000,2000.0,1078,31888.13245987892,-194.94,34603008,-194.0,0.548797070980072,1.5780332,0.019696236,270336,0.000993631,2000,6.2779064,-152.0
2.997559e-06,133,2000,2000.0,1075,32131.959361553192,-195.1,34865152,-194.0,0.5455668270587921,1.5777494,0.01643467,272384,0.0007311996,2000,6.3979535,-152.0
-9.834207e-05,134,2000,2000.0,1100,32370.221514940262,-195.06,35127296,-194.0,0.5761310160160065,1.5706279,0.02301693,274432,0.001330839,2000,5.803865,-152.0
-5.800673e-05,135,2000,2000.0,1097,32609.09719991684,-194.98,35389440,-192.0,0.5796616971492767,1.5772877,0.034154892,276480,0.001322077,2000,6.0293565,-152.0
-0.00013595591,136,2000,2000.0,1113,32844.473531484604,-195.22,35651584,-194.0,0.5782151222229004,1.53034,0.029719353,278528,0.0013531407,2000,6.8827085,-152.0
-9.605624e-05,137,2000,2000.0,1108,33080.917021512985,-194.82,35913728,-192.0,0.6087782382965088,1.5189838,0.03229618,280576,0.0015208754,2000,6.0042863,-152.0
-8.269409e-05,138,2000,2000.0,1096,33319.964569330215,-195.18,36175872,-192.0,0.5922199487686157,1.516271,0.051747322,282624,0.0013953119,2000,6.3229694,-152.0
0.00034480245,139,2000,2000.0,1105,33557.15453290939,-195.16,36438016,-194.0,0.5970408022403717,1.522678,0.0782156,284672,0.0018364209,2000,5.914088,-152.0
0.009390531,140,2000,2000.0,1081,33799.59297990799,-195.1,36700160,-194.0,0.6000174283981323,1.5159708,0.4052,286720,0.008346337,2000,6.128618,-152.0
0.00011579722,141,2000,2000.0,1095,34038.830032110214,-195.12,36962304,-194.0,0.5997663140296936,1.5543543,0.050421715,288768,0.0014331724,2000,5.9788637,-152.0
-0.00027463358,142,2000,2000.0,1080,34281.54973649979,-195.14,37224448,-192.0,0.5921905338764191,1.5393671,0.04581833,290816,0.0014127755,2000,6.05335,-152.0
-5.344759e-05,143,2000,2000.0,1077,34524.830761909485,-195.18,37486592,-194.0,0.5893677473068237,1.5331382,0.012304306,292864,0.0008158599,2000,6.23713,-152.0
-0.00030105546,144,2000,2000.0,1077,34768.068199157715,-195.06,37748736,-192.0,0.5906872451305389,1.5184855,0.013334274,294912,0.0011041672,2000,6.042195,-152.0
-0.00020064566,145,2000,2000.0,1075,35011.79649400711,-195.02,38010880,-194.0,0.5878537893295288,1.5221769,0.0092458725,296960,0.00093468995,2000,6.177112,-152.0
-0.00012831067,146,2000,2000.0,1081,35254.20299720764,-194.98,38273024,-192.0,0.5532544553279877,1.5124389,0.012181282,299008,0.0012302285,2000,7.154506,-152.0
-0.00014835679,147,2000,2000.0,1075,35497.981746435165,-194.94,38535168,-192.0,0.6043052673339844,1.5197879,0.040719986,301056,0.0014576906,2000,6.090879,-152.0
-0.0003100925,148,2000,2000.0,1080,35740.60213303566,-195.2,38797312,-194.0,0.5789225995540619,1.4759837,0.034272194,303104,0.0014692204,2000,6.1399064,-152.0
-0.0003646206,149,2000,2000.0,1091,35980.851457834244,-195.16,39059456,-194.0,0.568847119808197,1.444281,0.047582626,305152,0.0014131459,2000,6.0980926,-152.0
-0.00034833397,150,2000,2000.0,1090,36221.29165267944,-195.14,39321600,-192.0,0.5411145985126495,1.4344077,0.025146484,307200,0.0014073597,2000,6.1694374,-152.0
-5.1162708e-05,151,2000,2000.0,1078,36464.36592793465,-194.82,39583744,-192.0,0.5206131339073181,1.4193606,0.019627571,309248,0.0009059533,2000,6.198974,-152.0
0.0018900146,152,2000,2000.0,1078,36707.46033787727,-195.02,39845888,-192.0,0.5134197175502777,1.4197766,0.2029686,311296,0.0031508945,2000,5.900946,-152.0
-0.00020258568,153,2000,2000.0,1069,36952.505091667175,-195.12,40108032,-192.0,0.5163553953170776,1.3945537,0.023022652,313344,0.0016838248,2000,6.183557,-152.0
