n_updates,eprew_std,best_ext_ret,eprew,eplen,total_secs,eprew_recent,recent_worst_eplen,recent_best_eplen,best_eplen,recent_best_ext_ret,eplen_std,epcount,tcount,rew_mean,,,,
195,200.2246945,404.5,209.2745,768.31,90014.80754,240.3138571,1000,321,308,401.8,189.9143857,54178,49874206,0.33385617,,,,
196,204.7468106,404.5,220.5355,732.59,90490.31302,243.1595989,1000,322,308,401.6,203.0363069,54527,50125163,0.33557567,,,,
197,182.2818378,404.5,251.4045,714.68,90956.29897,234.9567039,1000,314,308,403.25,198.2141206,54885,50382436,0.33610716,,,,
198,164.9923583,404.5,272.4035,683.47,91416.32689,245.4276567,1000,345,308,397.1,191.0509594,55252,50643468,0.3635373,,,,
199,190.9326907,405.35,236.975,723.23,91876.95052,253.9593484,1000,304,304,405.35,205.1540326,55605,50892790,0.35265452,,,,
200,190.5102884,405.35,243.589,705.77,92345.5603,240.2483651,1000,307,304,404.7,208.3734079,55972,51151692,0.3515068,,,,
201,201.3162673,405.35,231.6755,712.72,92820.44448,247.5929539,1000,331,304,399.95,204.9317974,56341,51408202,0.36637837,,,,
202,142.7083626,405.35,294.5545,654.51,93282.68227,274.104065,1000,332,304,399.65,190.5668122,56710,51659968,0.39873317,,,,
203,184.8469835,405.35,247.3705,709.82,93742.65282,252.7617251,1000,325,304,401.15,206.3861129,57081,51918912,0.3723486,,,,
204,164.2676511,405.35,282.4835,655.08,94200.38617,261.8434316,1000,352,304,395.75,189.2492367,57454,52171473,0.38637644,,,,
205,168.438347,405.35,273.037,674.3,94659.90491,258.5683862,1000,311,304,403.85,191.0055758,57832,52433628,0.39202592,,,,
206,168.1337703,405.35,274.665,675.76,95121.96264,270.8047745,1000,340,304,398,199.1491963,58209,52688560,0.40622517,,,,
