eplen,total_secs,recent_best_ext_ret,epcount,tcount,recent_best_eplen,eprew_std,n_updates,recent_worst_eplen,eplen_std,best_ext_ret,rew_mean,eprew,best_eplen,eprew_recent
142.32,23582.90393,207.2,96881,20214642,112,5.187157218,79,266,12.41924313,207.7,1.3922436,194.98,111,195.3742684
140.26,23886.09587,208.6,98689,20470456,109,4.97944525,80,293,12.46965918,208.6,1.3906285,195.835,109,195.3076881
140.32,24188.46461,208.1,100509,20726059,110,8.488306309,81,375,21.01469962,208.6,1.4001279,195.816,109,195.6113736
140,24492.81741,207.2,102342,20982860,112,5.526997286,82,347,13.82533906,208.6,1.4129677,196.099,109,195.9123295
140.59,24794.98572,208.2,104168,21238165,110,4.687717995,83,375,11.81870974,208.6,1.4074898,195.81,109,195.6953998
139.06,25097.65004,207.3,106015,21494927,112,5.19828616,84,375,12.58953534,208.6,1.4259571,196.361,109,196.1076881
140.87,25404.2631,208.8,107867,21751204,108,7.420392106,85,375,18.01979745,208.8,1.4328876,195.559,108,196.3843952
137.47,25708.66875,210.4,109734,22006906,104,5.032663311,86,321,12.62969121,210.4,1.4472302,197.05,104,197.1981253
137.07,26013.25423,207.6,111601,22262670,111,5.456747749,87,375,13.67936768,210.4,1.4477372,197.252,104,197.0516336
139.85,26314.95232,208.9,113478,22519357,108,6.070401634,88,368,15.13233293,210.4,1.4592516,196.068,104,197.2714971
137.1,26618.12824,207.4,115348,22775793,112,4.957484846,89,375,12.37699479,210.4,1.4502127,197.188,104,197.033369
139.14,26921.31868,207.7,117229,23030724,111,32.17500061,90,375,26.62292997,210.4,1.4620537,194.144,104,197.6406167
138.49,27227.924,208.4,119128,23287508,109,7.121015307,91,347,17.28496167,210.4,1.4797814,196.521,104,197.9156925
136.57,27534.29122,208.4,121029,23543323,109,32.5701136,92,375,26.22794502,210.4,1.4831966,195.07,104,197.940505
134.82,27836.14573,209.2,122948,23799629,107,4.065784549,93,237,10.18958292,210.4,1.498684,198.114,104,198.5692027
132.55,28140.61896,208.8,124862,24055154,108,5.655136692,94,375,13.65238074,210.4,1.4961458,198.927,104,198.4631139
133.85,28443.9033,208.3,126790,24311890,110,4.874697427,95,355,11.90913515,210.4,1.5073342,198.485,104,198.7354253
133.59,28746.5227,208.4,128713,24567916,109,4.650200426,96,375,11.60611477,210.4,1.5036253,198.594,104,198.6386895
133.53,29051.91116,208,130639,24823242,110,6.287195241,97,375,15.7768533,210.4,1.5055751,198.676,104,198.7408619
130.82,29355.95901,208.4,132582,25079512,109,3.906780772,98,375,9.621205746,210.4,1.5232518,199.692,104,199.1375193
131.31,29659.99209,208.2,134523,25334941,110,4.517505838,99,293,10.75518015,210.4,1.5277057,199.471,104,199.3669243
129.73,29967.3261,209.6,136482,25591733,106,3.501306042,100,375,8.346082914,210.4,1.5344067,200.084,104,199.249464
129.5,30270.53701,208.4,138441,25847787,109,4.005428691,101,375,9.810708435,210.4,1.538417,200.229,104,199.6281266
132.48,30576.72746,208.6,140392,26103472,109,8.614747588,102,358,21.52973757,210.4,1.5338237,199.018,104,199.6017427
129.72,30885.77681,208.4,142362,26360173,109,3.692587169,103,375,8.967809097,210.4,1.548406,200.1,104,199.7825888
129.82,31191.21953,209.2,144331,26615617,107,4.668492155,104,244,11.39857886,210.4,1.5501592,200.009,104,200.1091417
129.71,31498.50282,209.6,146318,26871855,106,4.932426989,105,257,12.1369642,210.4,1.5679265,200.142,104,200.4364368
129.98,31807.21381,209.6,148297,27127588,106,6.796097336,106,375,16.88489266,210.4,1.5595049,200.019,104,199.9766043
127.81,32112.76322,211.2,150297,27383797,102,3.941988711,107,332,9.879974696,211.2,1.580244,200.925,102,200.7785
129.46,32419.35934,210,152272,27639091,105,5.301227782,108,375,13.25097732,211.2,1.5550789,200.272,102,200.0761013
125.98,32725.95015,209.6,154281,27895828,106,3.214016179,109,288,7.964897991,211.2,1.5893344,201.61,102,200.8902439
127,33033.23855,209.2,156286,28151599,107,4.438100495,110,259,10.20294075,211.2,1.5859985,201.108,102,200.9791022
129.03,33340.24073,209.6,158288,28408259,106,4.005358411,111,375,10.05430753,211.2,1.5797706,200.448,102,200.4879121
128.6,33645.00379,209.2,160282,28662991,107,32.37780368,112,375,26.18549217,211.2,1.5741396,198.327,102,200.6904213
125.21,33949.93638,210.4,162307,28919457,104,3.342128663,113,211,8.050211177,211.2,1.6049418,201.924,102,201.3643951
126.45,34255.74183,210.4,164335,29175940,104,3.518874252,114,332,8.673378811,211.2,1.6093531,201.418,102,201.4458087
125.03,34560.75413,210.4,166364,29432072,104,3.498492675,115,375,8.746948039,211.2,1.610026,202.043,102,201.4157713
127.08,34865.15144,210,168393,29687884,105,4.604654602,116,264,11.33108997,211.2,1.6094083,201.166,102,201.5891572
126.49,35170.97854,210,170429,29943632,105,3.95447329,117,177,9.89797454,211.2,1.6172909,201.471,102,201.7798134
125.91,35477.16023,209.6,172463,30199610,106,3.894470311,118,375,9.245642217,211.2,1.614756,201.599,102,201.472763
125.75,35786.97042,210.2,174508,30455653,105,3.898445203,119,195,9.753332764,211.2,1.6248271,201.745,102,201.9433252
122.7,36093.7949,210.2,176569,30712236,105,2.79703611,120,249,6.992138443,211.2,1.6410328,202.967,102,202.2312955
123.9,36400.66584,210,178619,30968061,105,3.447279942,121,350,8.260145277,211.2,1.6303223,202.431,102,202.1118537
123.47,36707.00001,210.3,180672,31223262,105,3.488073824,122,238,8.605178673,211.2,1.6351371,202.629,102,202.3034584
123.94,37013.12858,211.2,182737,31479832,102,3.417455194,123,266,8.183911045,211.2,1.6462787,202.42,102,202.311138
