rew_mean,recent_best_eplen,eplen_std,best_eplen,best_ext_ret,eprew,total_secs,n_updates,eprew_std,eprew_recent,epcount,recent_best_ext_ret,recent_worst_eplen,tcount,eplen
3.649818,63,4.672258554,61,257.6,254.203,36731.38224,145,1.821013729,254.1165758,366935,256.8,202,37115739,69.7
3.64609,62,4.236732231,61,257.6,254.279,36983.04284,146,1.681742846,254.120798,370594,257.5,140,37371578,69.51
3.6509843,62,8.993658877,61,257.6,253.801,37236.56517,147,3.583447921,254.1674038,374257,257.2,156,37627257,70.71
3.664307,63,3.733885376,61,257.6,254.63,37488.13384,148,1.475770985,254.2365933,377938,257.1,147,37883582,68.59
3.6668246,59,4.309651958,59,258.4,254.356,37738.95542,149,1.719727885,254.2628975,381617,258.4,133,38139505,69.37
3.6839352,62,5.710516614,59,258.4,254.295,37992.33524,150,2.284047942,254.3328734,385313,257.2,129,38395962,69.5
3.6711917,63,3.353147775,59,258.4,254.67,38247.39956,151,1.328269551,254.3656343,388994,256.8,212,38651094,68.58
3.693604,63,6.176884328,59,258.4,254.016,38501.90963,152,2.44706845,254.374757,392698,256.8,225,38907719,70.19
3.6880856,63,4.775719841,59,258.4,254.549,38756.37086,153,1.891374897,254.4380541,396398,257.1,139,39163509,68.85
3.6932263,63,4.633314149,59,258.4,254.555,39010.60394,154,1.843549565,254.4775257,400100,257,132,39419071,68.82
3.703385,63,3.313894989,59,258.4,254.741,39267.62331,155,1.3146935,254.4494879,403810,256.9,115,39675467,68.41
3.7008474,63,4.651623373,59,258.4,254.603,39519.50906,156,1.861045674,254.4868194,407520,257,135,39931495,68.68
3.710309,63,5.01421978,59,258.4,254.594,39774.67946,157,1.97564268,254.5446654,411241,256.8,141,40187738,68.76
3.7172234,63,6.051603093,59,258.4,254.124,40025.64879,158,2.394248107,254.5873421,414962,256.9,190,40443530,69.91
3.7207053,63,6.055237402,59,258.4,254.182,40278.40885,159,2.406756323,254.619941,418693,257,119,40699745,69.79
3.724105,62,4.028337126,59,258.4,254.831,40530.85018,160,1.587620547,254.6556718,422422,257.2,137,40955488,68.15
3.7220025,62,3.277193922,59,258.4,255.044,40782.11369,161,1.293237797,254.6294906,426152,257.2,144,41211558,67.6
3.7215066,63,3.45686274,59,258.4,254.891,41031.36842,162,1.380441596,254.640397,429880,257,141,41467348,67.99
3.74291,59,4.873027806,59,258.4,254.682,41284.72141,163,1.932737954,254.7366791,433626,258.4,319,41723504,68.56
3.7312548,62,4.286770346,59,258.4,254.858,41533.98561,164,1.716693333,254.714893,437366,257.2,137,41979480,68.06
3.741577,61,4.508602888,59,258.4,255.008,41791.55789,165,1.803645198,254.7532159,441113,257.8,127,42235517,67.65
3.7561262,62,5.355520516,59,258.4,254.778,42047.71226,166,2.133943767,254.8300452,444874,257.2,118,42491816,68.28
3.755928,62,4.509057551,59,258.4,254.972,42303.94537,167,1.779105393,254.8282863,448632,257.2,145,42747931,67.78
3.7433407,62,5.056668864,59,258.4,254.889,42557.90351,168,1.989969598,254.8032275,452381,257.2,132,43003642,67.99
3.7569551,62,2.946370649,59,258.4,255.339,42813.52086,169,1.175661091,254.807236,456140,257.2,206,43260030,66.83
3.7371962,62,8.62032482,59,258.4,254.524,43069.09868,170,3.420120466,254.8099947,459882,257.2,146,43515243,68.9
3.7545204,62,8.020598481,59,258.4,254.457,43327.13661,171,3.200820364,254.8392867,463639,257.4,145,43771222,69.1
3.7765095,62,7.275238828,59,258.4,254.302,43579.96649,172,2.888701438,254.9648942,467419,257.2,114,44027580,69.47
3.7782478,62,5.884182186,59,258.4,254.662,43834.11219,173,2.346903492,254.9252116,471199,257.4,128,44284303,68.58
3.7612426,62,4.765910196,59,258.4,255.013,44091.7658,174,1.893549841,254.9609886,474962,257.3,114,44539545,67.69
3.7600935,61,5.318072959,59,258.4,255.048,44349.82225,175,2.107058613,254.8981122,478723,257.6,211,44795260,67.59
3.7833881,62,4.774683236,59,258.4,255.038,44603.57264,176,1.907919286,254.9980185,482508,257.2,119,45051670,67.68
3.7744653,61,4.825929962,59,258.4,255.098,44860.44756,177,1.897365542,254.9971913,486282,257.6,106,45307356,67.48
3.7709541,61,5.001709708,59,258.4,255.009,45117.38907,178,2.000804588,254.8739995,490055,257.6,375,45563559,67.73
3.7786012,60,4.443602142,59,258.4,255.235,45372.37369,179,1.763823971,255.0097458,493831,258,155,45819264,67.12
3.7803211,62,5.352111733,59,258.4,254.943,45624.73468,180,2.135895831,254.996455,497611,257.5,131,46075353,67.93
