recent_worst_eplen,tcount,total_secs,epcount,rew_mean,eprew_recent,best_ext_ret,recent_best_ext_ret,n_updates,eplen,best_eplen,recent_best_eplen,eprew,eplen_std,eprew_std,,,,
1000,46792878,74490.51233,49221,0.16731982,134.3226821,396.7,376.65,183,838.32,347,447,140.335,167.7558869,221.6294012,,,,
1000,47055150,74896.41852,49525,0.13571998,105.4919408,396.7,382.05,184,868.1,347,420,112.0625,154.6728483,221.6976306,,,,
1000,47305264,75305.08338,49821,0.15279779,128.8447635,396.7,379.4,185,854.74,347,433,109.051,165.7797708,224.607343,,,,
1000,47565024,75722.83436,50125,0.15652281,124.4256579,396.7,372.65,186,840.24,347,467,142.0765,168.9128249,219.3133983,,,,
1000,47813574,76146.3363,50417,0.14044237,119.6342466,396.7,380.65,187,871.65,347,427,94.6275,156.7754046,224.4148207,,,,
1000,48070259,76562.47786,50721,0.17304565,138.2148026,396.7,376.5,188,847.92,347,448,148.7015,164.9185059,214.3439336,,,,
1000,48326270,76972.86835,51024,0.16838168,136.8749175,396.7,365.3,189,854.56,347,504,127.241,160.8160639,217.6697954,,,,
1000,48581345,77383.7228,51337,0.21419114,169.9567093,396.7,378.45,190,823.22,347,438,151.478,178.5457129,220.6313845,,,,
1000,48838851,77794.27639,51647,0.18774527,147.5104839,396.7,385.35,191,834.12,347,404,151.422,165.7849981,219.651059,,,,
1000,49101188,78203.01495,51962,0.18390143,141.6885714,396.7,380.45,192,825.89,347,428,149.14,173.3012346,222.6683425,,,,
1000,49357044,78614.30717,52274,0.21438263,168.8612179,396.7,377.25,193,847.92,347,444,137.1435,158.7141254,218.6200703,,,,
1000,49607491,79025.32558,52579,0.20255104,168.032623,396.7,382.1,194,848,347,420,143.5215,165.7255563,214.9618705,,,,
1000,49867802,79427.14061,52895,0.21244548,164.1748418,396.7,375.35,195,815.89,347,454,169.9525,166.461701,213.4058845,,,,
1000,50119537,79834.30888,53199,0.20256765,166.7756579,396.7,383.95,196,838.07,347,411,144.148,159.0042298,220.3480606,,,,
1000,50378419,80244.37375,53506,0.18714449,147.3079805,396.7,386.95,197,836.17,347,396,153.732,166.3716355,213.5413358,,,,
1000,50634730,80650.24474,53816,0.21021742,166.9345161,396.7,376.45,198,825.75,347,448,170.6885,159.2730596,208.9943039,,,,
1000,50891893,81062.91974,54124,0.2009902,163.0027597,396.7,373.45,199,839.83,347,463,140.8345,165.7105341,221.1217133,,,,
1000,51145292,81475.9237,54434,0.20196274,163.6183871,396.7,376.8,200,812.29,347,446,162.029,177.3078845,215.476518,,,,
1000,51405588,81885.3521,54746,0.18688612,145.7679487,396.7,371.6,201,835.56,347,472,142.1365,162.1576591,220.3707668,,,,
1000,51658218,82298.79228,55051,0.20706193,170.4234426,396.7,391.3,202,871.35,347,374,117.8585,152.9334741,218.7592276,,,,
1000,51910863,82696.14109,55357,0.18776762,153.4230392,396.7,378.9,203,841.36,347,436,139.247,177.00534,219.4207816,,,,
1000,52171798,83101.62603,55669,0.18268937,142.7258013,396.7,382.35,204,834.36,347,419,143.777,174.1475535,219.0419346,,,,
