best_ext_ret,recent_best_eplen,eplen,tcount,eprew_std,recent_worst_eplen,recent_best_ext_ret,best_eplen,n_updates,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std
248.4,86,92.08,47865803,1.364731109,166,247.9,84,187,2.655727,245.247,245.0512486,339656,46803.79046,3.46606405
248.4,85,93.32,48122030,3.003074924,181,248.2,84,188,2.6552653,244.779,245.0188065,342421,47054.99812,7.545700763
248.4,85,92.42,48378227,1.662305327,169,248.3,84,189,2.6746662,245.129,245.2354908,345202,47305.39446,4.171762218
248.4,86,92.01,48634582,1.688270121,210,247.6,84,190,2.6719444,245.288,245.2112549,347983,47559.16791,4.213063019
248.4,86,91.44,48889462,1.223926468,212,247.6,84,191,2.669615,245.502,245.3302451,350757,47812.64383,3.07024429
248.4,85,91.3,49145431,1.906834812,218,248,84,192,2.6816716,245.559,245.3440976,353544,48064.54752,4.763402146
248.4,86,92.63,49401664,4.689201531,209,247.6,84,193,2.6902993,245.017,245.4110555,356339,48316.0407,11.78274586
248.4,86,93.04,49658058,4.971194927,209,247.7,84,194,2.6921613,244.861,245.4670118,359140,48565.06123,12.45706225
248.4,86,90.96,49914128,1.065082156,154,247.7,84,195,2.7031415,245.68,245.5922337,361947,48815.29847,2.679253627
248.4,86,90.69,50169675,2.092713788,156,247.7,84,196,2.7011335,245.807,245.6542409,364753,49068.35375,5.256795602
248.6,84,91.33,50425942,1.648845354,199,248.6,84,197,2.708834,245.547,245.6276316,367565,49317.59702,4.135347627
248.6,86,90.82,50682153,1.155025541,362,247.7,84,198,2.7128482,245.754,245.7095458,370383,49569.67203,2.906475529
248.6,85,91.95,50938151,3.13015974,177,248.1,84,199,2.711097,245.31,245.7164063,373199,49821.03644,7.861774609
248.6,86,90.94,51193454,2.089100045,207,247.8,84,200,2.7143476,245.719,245.8139205,376015,50075.38629,5.226509351
248.6,86,90.37,51449488,0.829199011,200,247.7,84,201,2.721246,245.927,245.8133499,378839,50327.56915,2.076800424
248.6,86,90.91,51706206,2.050103412,209,247.8,84,202,2.7377536,245.726,245.9345653,381680,50580.43637,5.124636572
248.6,86,90.41,51962231,1.844575561,366,247.8,84,203,2.724094,245.921,245.8286372,384505,50832.48821,4.626218758
248.6,85,90.63,52218351,2.328631358,228,248.1,84,204,2.7311258,245.826,245.9423986,387340,51083.33361,5.811462811
248.6,86,90.53,52473764,2.02981674,203,247.8,84,205,2.7351675,245.862,246.0416578,390175,51333.43883,5.088133253
