eplen,best_eplen,rew_mean,n_updates,total_secs,best_ext_ret,recent_worst_eplen,recent_best_ext_ret,epcount,tcount,eplen_std,recent_best_eplen,eprew_std,eprew,eprew_recent
136.15,96,1.6568718,83,24041.37644,243.9,276,243.7,94179,21239521,19.35736294,96,7.752497404,227.672,227.0617947
137.78,96,1.673942,84,24336.43665,243.9,328,243.7,96050,21494510,21.53674999,96,8.600792057,227.024,227.6204703
133.51,93,1.6840006,85,24625.76008,244.8,280,244.8,97934,21749813,18.75819554,93,7.501264627,228.723,227.9287155
135.65,93,1.7017839,86,24916.92134,244.8,375,244.1,99838,22007410,24.86337668,95,9.962231628,227.879,227.7709034
134.35,93,1.7151959,87,25212.71822,244.8,244,243.3,101752,22263296,21.58767009,97,8.624897449,228.388,228.6583072
130.07,93,1.710264,88,25506.7559,244.8,375,244.1,103658,22518594,18.29549398,95,7.319908401,230.079,228.43851
131.61,93,1.732308,89,25801.98061,244.8,375,243.8,105588,22774887,19.27220537,96,7.719642155,229.515,228.9002073
133.34,93,1.7383252,90,26098.25247,244.8,245,244.4,107520,23030931,24.14796886,94,9.666461348,228.795,229.1250518
131.24,93,1.7469364,91,26390.94753,244.8,314,244.2,109461,23287289,17.69978531,95,7.093539244,229.651,229.3029366
130.78,93,1.752147,92,26686.13801,244.8,375,244.8,111410,23543811,20.73334512,93,8.286749906,229.824,229.2509492
132.42,93,1.76146,93,26982.95887,244.8,367,244,113363,23799322,21.33784431,95,8.540592719,229.174,229.8031234
126.49,93,1.7935933,94,27277.05118,244.8,375,244.7,115347,24055093,18.45399415,94,7.384326916,231.546,230.4599798
128.06,93,1.800785,95,27567.91672,244.8,320,244.2,117336,24311085,19.51093027,95,7.805409086,230.917,230.653645
130.26,92,1.797418,96,27865.84171,245.4,375,245.4,119325,24566922,32.28238529,92,33.60041183,227.775,230.3475616
127.42,92,1.8254181,97,28163.40777,245.4,267,244.5,121338,24823533,19.2816908,94,7.724160731,231.179,231.1472926
124.69,92,1.8224406,98,28454.81211,245.4,265,245.3,123347,25079172,18.85613693,92,7.564436463,232.249,231.2385266
125.07,91,1.8309165,99,28745.40437,245.8,375,245.8,125366,25335540,18.94848543,91,7.595455154,232.119,231.2374938
128.28,91,1.830426,100,29041.12045,245.8,375,244.2,127382,25592127,30.85355085,95,33.42993718,228.53,230.9994048
127.6,91,1.8356068,101,29339.1327,245.8,375,245,129406,25847875,19.30906523,93,7.73333046,231.1,231.4812747
124.88,91,1.8610595,102,29630.55479,245.8,375,244.2,131448,26102941,19.32681039,95,7.730183633,232.181,232.0613124
124.93,91,1.855677,103,29921.9371,245.8,269,245.5,133486,26358759,17.19433337,92,6.88264949,232.144,231.9269382
128.16,91,1.877261,104,30217.21065,245.8,255,245.4,135550,26616368,22.00850745,92,8.793127487,230.853,232.2111919
128.1,91,1.870772,105,30513.83006,245.8,375,244.1,137602,26872319,22.98107917,95,9.181553028,230.878,232.1281676
121.17,91,1.9009451,106,30807.99038,245.8,239,244.2,139684,27128726,16.66976605,95,6.664540494,233.67,232.8713256
122.22,91,1.8963698,107,31099.13243,245.8,375,245.2,141759,27383734,18.38345996,92,7.3512771,233.235,232.7467952
122.19,91,1.9216917,108,31392.77833,245.8,375,245.4,143860,27639615,18.31485463,92,7.328813001,233.25,233.3087101
124.13,91,1.9045856,109,31689.20247,245.8,375,244,145944,27895455,19.20502799,95,7.707855992,232.466,232.806094
124.29,91,1.9385824,110,31981.88303,245.8,247,245.5,148055,28151570,23.05094141,92,9.209733764,232.398,233.6021317
121.99,89,1.9358263,111,32277.6977,246.5,252,246.5,150168,28407513,14.24604857,89,5.693821213,233.34,233.6808329
122.94,89,1.9368198,112,32571.01127,246.5,375,245,152283,28663417,30.57345908,93,33.53895757,230.675,233.4077541
120.7,89,1.9595919,113,32863.89091,246.5,375,244.3,154419,28920297,16.08508626,95,6.437953945,233.843,233.808427
122.39,89,1.9479102,114,33161.22379,246.5,375,245.8,156543,29175969,17.06510768,91,6.815844482,233.192,233.8677024
120.44,89,1.9697337,115,33451.35798,246.5,258,244.9,158686,29431874,20.17935579,93,8.07662869,233.963,234.3677555
120.54,89,1.9731174,116,33743.00051,246.5,375,245.5,160834,29689183,16.19902466,92,6.489093234,233.913,234.1068901
121.92,89,1.9552699,117,34036.11714,246.7,375,246.7,162963,29943772,18.36283203,89,7.35955019,233.361,234.1930484
118.84,89,1.9704872,118,34336.31116,246.7,375,245.8,165107,30200016,15.94347515,91,6.374001177,234.597,234.1033582
116.39,89,1.991186,119,34630.52945,246.7,375,245.9,167270,30456504,14.08324891,91,5.620209605,235.562,234.5924642
119.65,89,1.9990723,120,34924.42766,246.7,238,246,169437,30711860,16.93421094,90,6.764266405,234.27,234.9956161
119.09,89,2.0210993,121,35219.78117,246.7,220,244.4,171626,30968375,15.27356867,94,6.098411187,234.491,235.2559159
117.92,88,2.0123997,122,35517.46945,246.9,375,246.9,173810,31224455,15.82698961,88,6.327918773,234.962,234.9103022
120.51,88,2.0031393,123,35811.87105,246.9,375,245.7,175984,31479850,18.72351196,91,7.484958517,233.914,234.9325207
118.69,88,2.0196767,124,36107.11268,246.9,220,246.4,178173,31736176,18.90327749,89,7.556884212,234.651,235.2894929
117.33,88,2.0326166,125,36402.0367,246.9,220,245.9,180371,31991936,14.44164464,91,5.778664552,235.206,235.5870792
