recent_best_ext_ret,eprew_std,eplen,recent_best_eplen,tcount,best_eplen,recent_worst_eplen,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std,best_ext_ret,n_updates
9.34375,2.5529638680793645,70.0,70,14461440.0,70,70,0.0052803378,1.0296875,0.10444167564655173,206592.0,84214.76579141617,0.0,9.4375,113
4.65625,1.907878402833891,70.0,70,14591360.0,70,70,0.004450031,-0.6,-0.08420325969827586,208448.0,84950.540746212,0.0,9.4375,114
3.875,1.9595917942265426,70.0,70,14716800.0,70,70,0.008667988,0.4,0.21527971540178573,210240.0,85686.47565817833,0.0,9.4375,115
7.78125,1.9935897271003378,70.0,70,14846720.0,70,70,0.011763011,0.16,0.45293978987068967,212096.0,86424.84509754181,0.0,9.4375,116
3.875,2.0,70.0,70,14972160.0,70,70,0.002636703,0.0,-0.33243233816964285,213888.0,87170.09160637856,0.0,9.4375,117
4.65625,1.8659046063504958,70.0,70,15102080.0,70,70,0.0033061241,-0.72,-0.057229929956896554,215744.0,87913.05690646172,0.0,9.4375,118
8.5625,1.8433917819385952,70.0,70,15227520.0,70,70,0.010097944,0.8109375,0.19206891741071427,217536.0,88658.62387633324,0.0,9.4375,119
7.0,1.9623880342264115,70.0,70,15357440.0,70,70,0.0090788,0.403125,0.3177195581896552,219392.0,89398.77990531921,0.0,9.4375,120
4.65625,1.9047703273623307,70.0,70,15487360.0,70,70,0.008730503,0.6525,0.19886516702586207,221248.0,90149.61212277412,0.0,9.4375,121
3.875,1.985547783358537,70.0,70,15612800.0,70,70,0.008316872,-0.24,0.17267717633928573,223040.0,90896.02281522751,0.0,9.4375,122
6.21875,2.18320864783923,70.0,70,15742720.0,70,70,0.007669485,-0.44,0.1697535021551724,224896.0,91642.9174311161,0.0,9.4375,123
6.21875,1.9415457759218557,70.0,70,15868160.0,70,70,0.0105690425,0.48,0.17457798549107142,226688.0,92389.5054359436,0.0,9.4375,124
4.65625,1.831940222951816,70.0,70,15998080.0,70,70,0.0075522508,0.8603125,0.2522898706896552,228544.0,93128.62988448143,0.0,9.4375,125
6.21875,2.087678136111982,70.0,70,16123520.0,70,70,0.011033106,-0.96,0.2721470424107143,230336.0,93877.14453125,0.0,9.4375,126
3.875,2.05951450589696,70.0,70,16253440.0,70,70,0.01131479,-0.28,0.4744073275862069,232192.0,94621.52672481537,0.0,9.4375,127
7.0,1.98030300711785,70.0,70,16383360.0,70,70,0.013642188,-0.28,0.5301387392241379,234048.0,95369.21939229965,0.0,9.4375,128
5.4375,1.76136310850432,70.0,70,16508800.0,70,70,0.010260182,-1.24,0.32142857142857145,235840.0,96115.30444455147,0.0,9.4375,129
6.21875,1.9963967541548444,70.0,70,16638720.0,70,70,0.008331009,0.12,0.1960028286637931,237696.0,96857.7742857933,0.0,9.4375,130
5.4375,2.0497845732844713,70.0,70,16764160.0,70,70,0.013264817,0.363125,0.3398960658482143,239488.0,97609.17828822136,0.0,9.4375,131
