total_secs,eprew_std,recent_best_ext_ret,recent_best_eplen,eprew_recent,best_ext_ret,epcount,eplen,best_eplen,tcount,recent_worst_eplen,eplen_std,eprew,rew_mean,n_updates
90402.95167,1.225114591,-1.09375,100,-5.358642578,0,84448,100,100,8444800,100,0,-5.6671875,-0.042548053,132
91050.42333,1.497673978,-0.46875,100,-5.1328125,0,85088,100,100,8508800,100,0,-4.7125,-0.03929008,133
91705.13076,1.261636269,-1.25,100,-5.178710938,0,85728,100,100,8572800,100,0,-4.9578125,-0.040078677,134
92359.90071,0.966503191,-0.78125,100,-5.030273438,0,86368,100,100,8636800,100,0,-5.3265625,-0.038648658,135
93009.09453,1.420978426,-1.09375,100,-5.143554688,0,87008,100,100,8700800,100,0,-4.39375,-0.03998158,136
93660.74645,1.304383385,-0.78125,100,-5.137695313,0,87648,100,100,8764800,100,0,-4.453125,-0.039642192,137
94309.73009,1.407508985,-0.9375,100,-5.137451172,0,88288,100,100,8828800,100,0,-4.6765625,-0.040482827,138
94960.07807,0.92200211,-0.9375,100,-5.096191406,0,88928,100,100,8892800,100,0,-5.309375,-0.03922425,139
95614.74339,1.136013796,-1.875,100,-5.365234375,0,89568,100,100,8956800,100,0,-5.03125,-0.042647425,140
96267.77999,1.287462075,-1.25,100,-5.124755859,0,90208,100,100,9020800,100,0,-4.54375,-0.03941368,141
96915.36482,1.160313805,-2.03125,100,-5.270996094,0,90848,100,100,9084800,100,0,-5.7625,-0.04128576,142
97568.42477,1.069599443,-1.25,100,-5.138183594,0,91488,100,100,9148800,100,0,-4.625,-0.039473306,143
98222.14862,0.99316389,-1.71875,100,-5.170166016,0,92128,100,100,9212800,100,0,-5.6109375,-0.0393057,144
98871.88339,1.27970467,-0.625,100,-4.938232422,0,92768,100,100,9276800,100,0,-5.1390625,-0.038695905,145
99526.53837,1.117460631,-1.25,100,-4.998535156,0,93408,100,100,9340800,100,0,-5.1015625,-0.038719863,146
100175.1636,1.291785949,-0.625,100,-4.943603516,0,94048,100,100,9404800,100,0,-4.7875,-0.036895026,147
100829.4939,1.123279935,-0.9375,100,-4.923095703,0,94688,100,100,9468800,100,0,-4.4875,-0.037901737,148
