value_loss,clipfrac,serial_timesteps,curbestrew,explained_variance,time_elapsed,nupdates,policy_loss,epbestrew,eprewmean,policy_entropy,approxkl,eplenmean,epbestlen,fps,total_timesteps,curbestlen
5.2885785,0.060476303,239616,-291.0,0.6949997842311859,28707.710139513016,117,0.0002814729,-259.0,-292.26,1.7115005,0.0012948388,3000.0,3000,1074,30670848,3000
5.378842,0.015829086,241664,-289.0,0.6944789588451385,28953.66104388237,118,-5.56322e-05,-259.0,-292.14,1.7055309,0.00079453003,3000.0,3000,1065,30932992,3000
4.9374003,0.021515846,243712,-291.0,0.6955948173999786,29195.77758383751,119,-0.00025296747,-259.0,-292.22,1.6874577,0.000965452,3000.0,3000,1082,31195136,3000
5.370872,0.022380829,245760,-289.0,0.6960543394088745,29442.465079307556,120,-0.00011299323,-259.0,-292.32,1.6977081,0.0010316082,3000.0,3000,1062,31457280,3000
5.218655,0.014491081,247808,-291.0,0.6936034560203552,29686.821923732758,121,-0.00021519707,-259.0,-292.44,1.685053,0.0010172992,3000.0,3000,1072,31719424,3000
5.6710763,0.035765648,249856,-291.0,0.690178394317627,29935.569503307343,122,-0.00012279613,-259.0,-292.44,1.6656079,0.0014401661,3000.0,3000,1053,31981568,3000
5.0474076,0.05376911,251904,-291.0,0.7004141807556152,30182.08002638817,123,0.00012331986,-259.0,-292.5,1.6771948,0.0013447261,3000.0,3000,1063,32243712,3000
5.4484954,0.07758522,253952,-291.0,0.7013986706733704,30426.41593027115,124,0.0004271631,-259.0,-292.5,1.6480063,0.0015386424,3000.0,3000,1072,32505856,3000
5.5949764,0.045212746,256000,-291.0,0.6915130019187927,30671.725944280624,125,-9.189092e-05,-259.0,-292.64,1.636902,0.0012761501,3000.0,3000,1068,32768000,3000
5.8370404,0.03138733,258048,-291.0,0.6446031332015991,30917.952515125275,126,-0.00022610475,-259.0,-292.68,1.6225625,0.0007261529,3000.0,3000,1064,33030144,3000
5.1578903,0.0630312,260096,-291.0,0.6765296459197998,31162.114072561264,127,0.0001489551,-259.0,-292.82,1.6281216,0.0014624237,3000.0,3000,1073,33292288,3000
5.572144,0.057538033,262144,-291.0,0.6108418703079224,31403.660623550415,128,-0.00029937562,-259.0,-292.9,1.5995017,0.001037271,3000.0,3000,1085,33554432,3000
5.8627343,0.044513702,264192,-291.0,0.5502345561981201,31647.619868040085,129,-0.00046473826,-259.0,-292.94,1.6024022,0.0011699938,3000.0,3000,1074,33816576,3000
5.5407805,0.048454285,266240,-291.0,0.4742947220802307,31893.48351740837,130,-0.00020639515,-259.0,-292.98,1.5790668,0.0012267783,3000.0,3000,1066,34078720,3000
5.7447233,0.022860527,268288,-291.0,0.46460235118865967,32140.372304439545,131,-0.0002781463,-259.0,-292.98,1.5914581,0.0010840658,3000.0,3000,1061,34340864,3000
6.1649637,0.036450386,270336,-293.0,0.41179341077804565,32383.855429410934,132,8.198587e-05,-259.0,-293.0,1.5641901,0.0011256859,3000.0,3000,1076,34603008,3000
5.9745235,0.01800251,272384,-293.0,0.39569175243377686,32630.15696644783,133,-0.0002321055,-259.0,-293.0,1.5528287,0.0009337037,3000.0,3000,1064,34865152,3000
5.3234344,0.027852058,274432,-293.0,0.3509244918823242,32872.53872847557,134,7.665656e-05,-259.0,-293.0,1.5645901,0.0009947888,3000.0,3000,1081,35127296,3000
6.0120378,0.031733513,276480,-293.0,0.391775906085968,33116.21872186661,135,-0.00021600154,-259.0,-293.0,1.5282432,0.0009854977,3000.0,3000,1075,35389440,3000
6.077463,0.022571564,278528,-291.0,0.3283390998840332,33360.223778009415,136,-0.00032171153,-259.0,-292.98,1.5232563,0.0010067371,3000.0,3000,1074,35651584,3000
5.959739,0.015099525,280576,-291.0,0.29428553581237793,33604.51401758194,137,-0.00022221303,-259.0,-292.98,1.5057874,0.00074393785,3000.0,3000,1073,35913728,3000
5.551557,0.022568703,282624,-293.0,0.2627300024032593,33850.07282328606,138,-7.4240284e-05,-259.0,-293.0,1.4872957,0.0010001425,3000.0,3000,1067,36175872,3000
5.9785256,0.01629448,284672,-293.0,0.2223469614982605,34103.6800968647,139,-0.00012315449,-259.0,-293.0,1.4626731,0.00078364083,3000.0,3000,1033,36438016,3000
6.0063815,0.030790329,286720,-293.0,0.19762009382247925,34353.11088323593,140,-0.0001954529,-259.0,-293.0,1.4726363,0.0012457103,3000.0,3000,1050,36700160,3000
6.031164,0.06853104,288768,-293.0,0.18042808771133423,34596.02391934395,141,0.00056201225,-259.0,-293.0,1.4642403,0.0016674456,3000.0,3000,1079,36962304,3000
5.162457,0.028643608,290816,-293.0,0.22040170431137085,34837.90441274643,142,4.27251e-05,-259.0,-293.0,1.4510443,0.0010190521,3000.0,3000,1083,37224448,3000
5.710959,0.026512146,292864,-293.0,0.20725631713867188,35080.59108710289,143,-0.000101532554,-259.0,-293.0,1.447314,0.0012611096,3000.0,3000,1080,37486592,3000
5.7789383,0.009023666,294912,-293.0,0.20234984159469604,35320.9006562233,144,-0.00020504225,-259.0,-293.0,1.4499252,0.0011906746,3000.0,3000,1090,37748736,3000
5.2671304,0.007282257,296960,-293.0,0.16780829429626465,35563.171352148056,145,4.802047e-05,-259.0,-293.0,1.4552588,0.000619263,3000.0,3000,1082,38010880,3000
5.875858,0.010883331,299008,-293.0,0.18622225522994995,35810.15091061592,146,-0.00017630558,-259.0,-293.0,1.4703839,0.0013758327,3000.0,3000,1061,38273024,3000
5.9643183,0.034183502,301056,-293.0,0.1740403175354004,36053.20295262337,147,9.280066e-05,-259.0,-293.0,1.479287,0.0012559391,3000.0,3000,1078,38535168,3000
5.988281,0.03806019,303104,-291.0,0.1641635298728943,36298.70835471153,148,-0.00044556233,-259.0,-292.98,1.4971529,0.0025375888,3000.0,3000,1067,38797312,3000
5.048193,0.11797905,305152,-293.0,0.14033454656600952,36545.70131778717,149,0.00048517363,-259.0,-293.0,1.503945,0.0021532003,3000.0,3000,1061,39059456,3000
5.8180175,0.058437347,307200,-293.0,0.1682007908821106,36793.181547641754,150,-0.00012304945,-259.0,-293.0,1.4825612,0.0023712798,3000.0,3000,1059,39321600,3000
5.987698,0.09942722,309248,-293.0,0.16521292924880981,37039.066829919815,151,0.0002514533,-259.0,-293.0,1.4841831,0.0019069675,3000.0,3000,1066,39583744,3000
5.9454074,0.007472992,311296,-293.0,0.14249646663665771,37283.83584070206,152,-4.808051e-06,-259.0,-293.0,1.4914336,0.0008946756,3000.0,3000,1070,39845888,3000
5.130782,0.024785995,313344,-293.0,0.14878571033477783,37526.474798202515,153,-0.0001224137,-259.0,-293.0,1.5160145,0.0010298246,3000.0,3000,1080,40108032,3000
5.9877334,0.019122124,315392,-293.0,0.1634131669998169,37770.04215836525,154,-3.4595905e-05,-259.0,-293.0,1.5108476,0.0010495546,3000.0,3000,1076,40370176,3000
5.7876496,0.013674736,317440,-293.0,0.15903449058532715,38015.41628193855,155,-0.00024889866,-259.0,-293.0,1.5131352,0.0014715465,3000.0,3000,1068,40632320,3000
5.214742,0.034255028,319488,-293.0,0.13705170154571533,38259.1453564167,156,2.1153039e-05,-259.0,-293.0,1.529864,0.0015988783,3000.0,3000,1075,40894464,3000
