epbestrew,policy_loss,serial_timesteps,time_elapsed,fps,value_loss,curbestlen,explained_variance,policy_entropy,eplenmean,epbestlen,curbestrew,eprewmean,approxkl,nupdates,total_timesteps,clipfrac
-98.0,0.0009071924,374784,23085.965513944626,2074,7.3003297,1500,0.5235953629016876,1.3386575,1500.0,1500,-134.0,-138.04,0.0024825153,183,47972352,0.1031723
-98.0,0.001840916,376832,23212.00972032547,2079,6.626756,1500,0.5156579315662384,1.298977,1500.0,1500,-134.0,-138.06,0.0036400736,184,48234496,0.12560844
-98.0,0.00043478783,378880,23338.330226421356,2075,7.2444987,1500,0.560434490442276,1.3326892,1500.0,1500,-138.0,-138.4,0.0017081911,185,48496640,0.07232189
-98.0,0.00027360982,380928,23464.59799361229,2076,6.4027915,1500,0.5544601082801819,1.3263282,1500.0,1500,-138.0,-138.36,0.0012517318,186,48758784,0.049099922
-98.0,0.0005229688,382976,23589.899129629135,2092,7.036963,1500,0.5754912495613098,1.3279066,1500.0,1500,-138.0,-138.38,0.0016312007,187,49020928,0.0776968
-98.0,6.461593e-05,385024,23717.616059541702,2052,6.254099,1500,0.5740711092948914,1.2910041,1500.0,1500,-138.0,-138.44,0.0010499789,188,49283072,0.03660679
-98.0,0.0011394009,387072,23843.729835033417,2078,7.4837327,1500,0.5703916251659393,1.2981808,1500.0,1500,-134.0,-138.58,0.0023482256,189,49545216,0.11296368
-98.0,0.0002613971,389120,23972.258118867874,2039,6.213698,1500,0.584754467010498,1.2694606,1500.0,1500,-138.0,-138.58,0.0014210817,190,49807360,0.057845116
-98.0,0.0003810266,391168,24099.31910967827,2064,7.8669734,1500,0.538787305355072,1.2959867,1500.0,1500,-136.0,-138.5,0.0017199409,191,50069504,0.06373596
-98.0,0.00048911845,393216,24226.617871761322,2059,6.4994245,1500,0.5549303293228149,1.3096781,1500.0,1500,-138.0,-138.36,0.0016233762,192,50331648,0.0704155
-98.0,0.0009923736,395264,24353.988493919373,2058,7.8881807,1500,0.5259906053543091,1.2719567,1500.0,1500,-134.0,-138.22,0.0019060483,193,50593792,0.083664894
-98.0,8.610725e-05,397312,24480.95447230339,2064,6.330546,1500,0.583398312330246,1.2736071,1500.0,1500,-138.0,-138.5,0.000731634,194,50855936,0.024301529
-98.0,0.00014627112,399360,24608.25056743622,2059,6.6003237,1500,0.5594756305217743,1.2465426,1500.0,1500,-134.0,-138.28,0.0015187884,195,51118080,0.044643402
-98.0,0.0002957151,401408,24734.362467050552,2078,6.964804,1500,0.5864937603473663,1.2472275,1500.0,1500,-138.0,-138.78,0.0014369417,196,51380224,0.055036545
-98.0,1.9591842e-05,403456,24859.537605524063,2094,6.547623,1500,0.5423294305801392,1.2468861,1500.0,1500,-138.0,-138.38,0.001509269,197,51642368,0.049586296
-98.0,0.00047893694,405504,24984.326214551926,2100,7.633462,1500,0.5388038456439972,1.2803179,1500.0,1500,-134.0,-138.34,0.0017606154,198,51904512,0.084854126
-98.0,0.00028089387,407552,25109.27877998352,2098,6.6578283,1500,0.5557817816734314,1.2522095,1500.0,1500,-138.0,-138.28,0.0015788871,199,52166656,0.056303024
-98.0,0.0004446322,409600,25235.252690315247,2080,7.3646064,1500,0.5665211975574493,1.2644782,1500.0,1500,-134.0,-138.6,0.0012306168,200,52428800,0.05825138
-98.0,0.0006010179,411648,25360.585037469864,2092,6.90478,1500,0.5482228398323059,1.2477174,1500.0,1500,-138.0,-138.76,0.0020492135,201,52690944,0.0822649
-98.0,0.00033718563,413696,25486.46623802185,2082,7.485554,1500,0.570347785949707,1.228469,1500.0,1500,-134.0,-138.8,0.0012987588,202,52953088,0.05482292
-98.0,0.000469823,415744,25613.71559739113,2060,6.4609313,1500,0.5863887667655945,1.2279757,1500.0,1500,-134.0,-138.68,0.0012891591,203,53215232,0.06531525
-98.0,0.0006460226,417792,25739.783198595047,2079,7.987705,1500,0.5457942485809326,1.2577152,1500.0,1500,-134.0,-138.18,0.0017865464,204,53477376,0.0840044
-98.0,0.0011789283,419840,25864.36487841606,2104,6.962398,1500,0.541522353887558,1.2857943,1500.0,1500,-138.0,-138.26,0.0021245563,205,53739520,0.099383354
-98.0,0.00090932485,421888,25988.88044500351,2105,7.9526653,1500,0.5464179813861847,1.2175709,1500.0,1500,-134.0,-138.76,0.0013117106,206,54001664,0.0583601
-98.0,0.0020127292,423936,26115.716588497162,2066,6.490477,1500,0.5849153697490692,1.2607971,1500.0,1500,-134.0,-138.58,0.0040884037,207,54263808,0.16648674
-98.0,0.0037150944,425984,26244.286302804947,2038,6.520351,1500,0.5833401381969452,1.1967493,1500.0,1500,-134.0,-138.46,0.0059139156,208,54525952,0.23385525
-98.0,0.0006509556,428032,26373.247737169266,2032,7.3411036,1500,0.568284422159195,1.2333627,1500.0,1500,-138.0,-138.46,0.0028941743,209,54788096,0.10068989
-98.0,0.00059753953,430080,26500.541073799133,2059,6.994107,1500,0.5580122470855713,1.2081038,1500.0,1500,-138.0,-138.2,0.0018038871,210,55050240,0.066207886
-98.0,0.0009876455,432128,26624.454240083694,2116,7.8838987,1500,0.5617662966251373,1.2210633,1500.0,1500,-138.0,-138.36,0.0025736794,211,55312384,0.10700226
-98.0,0.0009934049,434176,26749.245462417603,2100,7.079823,1500,0.5637828409671783,1.2044488,1500.0,1500,-134.0,-138.2,0.001960726,212,55574528,0.083148
-98.0,0.0007795807,436224,26872.99859023094,2118,7.5677414,1500,0.5889122188091278,1.191089,1500.0,1500,-138.0,-138.54,0.002059441,213,55836672,0.092840195
-98.0,0.00065602385,438272,26999.04043316841,2079,6.9119506,1500,0.577963262796402,1.1899769,1500.0,1500,-138.0,-138.3,0.0016564658,214,56098816,0.06860638
-98.0,0.00044536532,440320,27124.020303726196,2097,7.471868,1500,0.5797463357448578,1.2009702,1500.0,1500,-138.0,-138.2,0.0011342205,215,56360960,0.055683136
-98.0,0.0002722235,442368,27250.502914190292,2072,6.31546,1500,0.602278470993042,1.1782684,1500.0,1500,-134.0,-138.3,0.001085333,216,56623104,0.048192978
-98.0,0.0005074992,444416,27375.948286533356,2089,7.548255,1500,0.5717772543430328,1.1843828,1500.0,1500,-134.0,-138.14,0.0012486286,217,56885248,0.062633514
-98.0,0.0011590569,446464,27503.313772678375,2058,6.6932335,1500,0.5939528048038483,1.2194936,1500.0,1500,-134.0,-138.1,0.0016623219,218,57147392,0.07664871
-98.0,0.0010414656,448512,27627.46437883377,2111,7.707,1500,0.5518030226230621,1.2144595,1500.0,1500,-134.0,-137.98,0.0026760201,219,57409536,0.10768318
-98.0,0.0024166345,450560,27752.712557792664,2093,7.055914,1500,0.5657756626605988,1.2580358,1500.0,1500,-134.0,-138.16,0.0042571886,220,57671680,0.15461254
-98.0,0.0011976633,452608,27876.707102298737,2115,6.786061,1500,0.5682558417320251,1.2011344,1500.0,1500,-138.0,-138.6,0.0024729762,221,57933824,0.09275055
-98.0,0.0038271595,454656,28000.34565448761,2120,8.24604,1500,0.5550915598869324,1.2595179,1500.0,1500,-134.0,-138.4,0.0062594237,222,58195968,0.21991253
-98.0,0.001003757,456704,28126.068198919296,2085,7.6728854,1500,0.5100356638431549,1.2794049,1500.0,1500,-134.0,-138.08,0.0019029403,223,58458112,0.091609
-98.0,0.000980108,458752,28251.091519117355,2096,9.373551,1500,0.48853224515914917,1.323168,1500.0,1500,-134.0,-138.06,0.0015985752,224,58720256,0.07303429
-98.0,0.0009626097,460800,28376.024079561234,2098,7.662662,1500,0.49933338165283203,1.2964358,1500.0,1500,-138.0,-138.18,0.0021403283,225,58982400,0.10634422
-98.0,0.0019483787,462848,28501.17091870308,2094,9.095994,1500,0.5348587930202484,1.3195457,1500.0,1500,-138.0,-138.06,0.002865919,226,59244544,0.1254549
-98.0,0.0018731616,464896,28627.91077232361,2068,7.61806,1500,0.5504958927631378,1.2726289,1500.0,1500,-134.0,-138.1,0.002708533,227,59506688,0.116625786
-98.0,0.0015152473,466944,28752.855270385742,2098,8.583714,1500,0.5472867488861084,1.2710195,1500.0,1500,-134.0,-138.3,0.0027931535,228,59768832,0.12436581
-98.0,0.00070155284,468992,28878.278302192688,2090,7.294507,1500,0.5599088966846466,1.2459986,1500.0,1500,-134.0,-138.48,0.0019028814,229,60030976,0.08068752
-98.0,0.0021815256,471040,29003.59541296959,2091,8.6993065,1500,0.55020871758461,1.216804,1500.0,1500,-138.0,-138.92,0.003745912,230,60293120,0.13739204
