serial_timesteps,nupdates,clipfrac,policy_loss,eprewmean,eplenmean,policy_entropy,value_loss,curbestlen,time_elapsed,approxkl,explained_variance,curbestrew,total_timesteps,epbestrew,epbestlen,fps
501760,245,0.0062847137,-0.0004796551,51.288000000000004,498.93,0.90320474,261.95874,126,13236.036073207855,0.0015015714,0.05668240785598755,107.6,32112640,110.0,102,2405
503808,246,0.007894516,-0.00025559915,51.85500000000001,503.27,0.9134339,273.5051,108,13289.664148807526,0.0018124883,0.056887269020080566,109.4,32243712,110.0,102,2444
505856,247,0.015134811,-0.00013103164,38.741,554.33,0.93571824,242.82579,155,13342.694145679474,0.0027123285,0.06237906217575073,104.7,32374784,110.0,102,2471
507904,248,0.02287674,-4.6287423e-05,54.965999999999994,502.19,0.9275697,268.06378,112,13397.466953277588,0.0032683066,0.055155396461486816,109.0,32505856,110.0,102,2393
509952,249,0.016119003,-0.00033816198,46.115,510.62,0.91803294,256.16702,133,13451.6316781044,0.0026935174,0.0521276593208313,106.9,32636928,110.0,102,2420
512000,250,0.0073394775,-0.000268043,45.522999999999996,516.54,0.89530605,258.32364,152,13506.940456867218,0.0019409416,0.06285721063613892,105.0,32768000,110.0,102,2369
514048,251,0.0041999817,-7.329373e-05,51.592,495.89,0.89690477,269.22055,158,13562.379693031311,0.0016214288,0.056692421436309814,104.4,32899072,110.0,102,2365
516096,252,0.010772705,-2.6785601e-05,39.402,577.75,0.91583234,241.3314,129,13616.068659305573,0.0019841944,0.06689608097076416,107.3,33030144,110.0,102,2441
518144,253,0.00223732,-0.0004212464,58.25899999999999,489.28,0.89064145,255.65749,150,13670.957209825516,0.0012719413,0.06049501895904541,105.2,33161216,110.0,102,2388
520192,254,0.0013389587,-9.153469e-05,59.007000000000005,461.78,0.8942854,279.77634,90,13726.262366771698,0.001128843,0.05690497159957886,111.2,33292288,111.2,90,2370
522240,255,0.018157959,0.00018860902,54.437000000000005,507.48,0.8906412,253.37161,138,13779.915033102036,0.0023902014,0.06345677375793457,106.4,33423360,111.2,90,2443
524288,256,0.025043488,-0.0008018091,27.559999999999995,606.08,0.86889946,215.23283,137,13833.74817943573,0.0032965553,0.07128918170928955,106.5,33554432,111.2,90,2434
526336,257,0.021705627,-8.141181e-05,48.529,516.51,0.8867259,229.88922,127,13887.088908195496,0.0028690964,0.06165957450866699,107.5,33685504,111.2,90,2457
528384,258,0.011569977,-0.00026453618,40.751,554.25,0.89279765,215.96112,116,13940.337605953217,0.002164707,0.06286555528640747,108.6,33816576,111.2,90,2461
530432,259,0.019670486,-0.00024312234,51.878,493.03,0.9175691,238.06898,141,13995.11209988594,0.0028916849,0.0543096661567688,106.1,33947648,111.2,90,2393
532480,260,0.034715652,-0.00020471372,55.617999999999995,485.66,0.90403324,268.9728,141,14050.909492492676,0.0040334617,0.05759018659591675,106.1,34078720,111.2,90,2349
534528,261,0.0751667,0.0016603965,41.711999999999996,554.65,0.87654865,268.6889,137,14106.44855761528,0.0059639635,0.06975549459457397,106.5,34209792,111.2,90,2360
536576,262,0.010530472,-0.00023424416,52.289000000000016,478.91,0.87313503,258.88477,140,14160.86025929451,0.001910468,0.07821077108383179,106.2,34340864,111.2,90,2409
538624,263,0.01689148,-0.0002001867,57.88300000000002,463.01,0.8617232,280.92255,135,14216.235499382019,0.0022108408,0.07417488098144531,106.7,34471936,111.2,90,2367
