eprew_recent,tcount,total_secs,eprew,recent_best_ext_ret,eprew_std,best_eplen,eplen_std,n_updates,epcount,eplen,recent_best_eplen,rew_mean,recent_worst_eplen,best_ext_ret
104.43574984443062,20988856.0,17201.22765302658,104.295,111.0,2.9882896445960525,19,7.472154976979533,82,377835.0,40.13,23,2.6358845,250,112.6
104.46881853281853,21245267.0,17411.97092485428,104.27600000000001,111.5,2.1006246689972965,19,5.229302056680221,83,384310.0,40.12,22,2.6542113,250,112.6
104.569621421976,21501470.0,17622.266939163208,104.822,111.0,1.8549167097204118,19,4.648397573357942,84,390808.0,38.82,23,2.6655412,211,112.6
104.51625463535228,21757295.0,17829.236880779266,104.538,111.5,2.9124484544794957,19,7.294182613562674,85,397280.0,39.57,22,2.654303,250,112.6
104.58304327737565,22013120.0,18035.71117758751,104.959,111.0,1.944432822187488,19,4.915648482143531,86,403773.0,38.42,23,2.666222,163,112.6
104.56030475604126,22269461.0,18244.747591018677,104.681,113.0,2.979956207731918,18,7.4695649137014675,87,410270.0,39.16,18,2.6643996,152,113.0
104.46754535586912,22525174.0,18454.964749097824,104.58900000000003,111.3,1.6549861026606842,18,4.096779222755359,88,416719.0,39.42,23,2.6434758,250,113.0
104.57151645647492,22781560.0,18663.668343544006,104.637,111.8,2.065074090680526,18,5.134929405551746,89,423221.0,39.25,21,2.6688244,188,113.0
104.59533415460426,23037218.0,18874.362984657288,104.91699999999999,111.0,2.0175755252282377,18,5.046147045023559,90,429715.0,38.58,23,2.66577,140,113.0
104.58795569912321,23293248.0,19082.184947013855,104.613,111.2,3.0202865758070048,18,7.565784823797198,91,436216.0,39.33,23,2.6692867,172,113.0
104.57245039224735,23549511.0,19291.042592287064,105.04900000000002,111.0,1.7787914436493115,18,4.441384919144028,92,442717.0,38.21,23,2.6662207,161,113.0
104.62910150260656,23805443.0,19500.523756742477,105.025,111.8,2.603704092250116,18,6.520513783437621,93,449239.0,38.23,21,2.6779919,250,113.0
104.59353103872157,24061421.0,19710.167702913284,102.80800000000004,110.8,18.538757671429874,18,21.91637515648973,94,455747.0,41.35,24,2.672144,250,113.0
104.66574754901961,24317291.0,19922.695425987244,104.74000000000002,111.0,1.862525167615192,18,4.69360202829341,95,462275.0,38.99,23,2.684322,186,113.0
104.6395003065604,24573426.0,20133.891318559647,104.39399999999999,111.2,2.1233379382472304,18,5.328639601249085,96,468799.0,39.84,23,2.6753907,172,113.0
104.71960963708447,24829538.0,20346.726281166077,104.74600000000001,111.1,1.886182387787565,18,4.745724391491778,97,475357.0,38.91,23,2.694552,109,113.0
104.66981305547041,25085232.0,20558.608226776123,105.056,111.5,1.9600673457817719,18,4.898356867358686,98,481883.0,38.19,22,2.6826885,140,113.0
