eprew,eprew_recent,recent_best_ext_ret,eprew_std,epcount,n_updates,eplen_std,best_eplen,tcount,rew_mean,eplen,recent_worst_eplen,best_ext_ret,recent_best_eplen,total_secs
-132.26,-132.496875,-116,3.946188034,12160,18,0,375,4560000,-0.34215802,375,375,-116,375,4358.759098
-130.44,-130.9661458,-112,3.832283914,12928,19,0,375,4848000,-0.33093554,375,375,-112,375,4604.705994
-130.12,-129.61875,-120,3.308413517,13568,20,0,375,5088000,-0.33405727,375,375,-112,375,4850.384581
-128,-128.225,-116,3.826225294,14208,21,0,375,5328000,-0.33052447,375,375,-112,375,5094.918588
-126.94,-127.296875,-112,4.651494384,14976,22,0,375,5616000,-0.32208613,375,375,-112,375,5338.575497
-126.26,-125.89375,-112,3.585024407,15616,23,0,375,5856000,-0.32443848,375,375,-112,375,5583.175635
-124.44,-124.896875,-108,4.035641213,16256,24,0,375,6096000,-0.32213473,375,375,-108,375,5824.28411
-124.62,-124.328125,-104,3.770358073,17024,25,0,375,6384000,-0.3129062,375,375,-104,375,6066.774517
-123.3,-123.35625,-104,4.68508271,17664,26,0,375,6624000,-0.31850037,375,375,-104,375,6309.246248
-122.1,-122.428125,-104,3.559494346,18304,27,0,375,6864000,-0.31666616,375,375,-104,375,6551.943898
-120.96,-121.6276042,-108,3.693020444,19072,28,0,375,7152000,-0.30657628,375,375,-104,375,6794.5217
-120.74,-121.025,-100,3.684073832,19712,29,0,375,7392000,-0.31272504,375,375,-100,375,7036.583656
-120.12,-120.203125,-104,4.407448241,20352,30,0,375,7632000,-0.3108073,375,375,-100,375,7277.166488
-117.88,-118.890625,-76,5.870741009,21120,31,0,375,7920000,-0.29937032,375,375,-76,375,7520.377557
-119.48,-118.875,-92,3.976128771,21760,32,0,375,8160000,-0.3074079,375,375,-76,375,7762.493945
-117.64,-117.9375,-92,4.160576883,22400,33,0,375,8400000,-0.30540574,375,375,-76,375,8009.010976
-117.5,-117.1354167,-92,4.112177039,23168,34,0,375,8688000,-0.29490775,375,375,-76,375,8254.920063
-116.68,-116.65,-76,5.974746857,23808,35,0,375,8928000,-0.30145988,375,375,-76,375,8500.767653
-115.4,-115.96875,-84,5.110772936,24448,36,0,375,9168000,-0.30071983,375,375,-76,375,8743.925919
-114.32,-115.4296875,-68,7.114604697,25216,37,0,375,9456000,-0.28986067,375,375,-68,375,8986.889396
-114.98,-114.3465625,138.2,5.007953674,25856,38,0,360,9695985,-0.29511333,375,375,138.2,360,9234.812608
-114.64,-113.9744548,136.4,5.034918073,26498,39,0,360,9936724,-0.29498926,375,375,138.2,364,9481.350277
-113.38,-113.2964752,134.9,6.097179676,27264,40,0,360,10223967,-0.2841388,375,375,138.2,368,9725.094484
-111.72,-111.11375,159.7,6.675447551,27904,41,0,306,10463810,-0.28724754,375,375,159.7,306,9968.613899
-112.82,-112.3891808,136.2,5.426564291,28551,42,0,306,10706405,-0.290947,375,375,159.7,345,10213.17389
-110.58,-110.7935611,138.7,7.773261864,29312,43,0,306,10991751,-0.27723283,375,375,159.7,359,10456.04456
-109.4,-109.52,137.2,8.454584555,29952,44,0,306,11231738,-0.28232664,375,375,159.7,362,10702.84062
-110.8,-109.5116564,163.2,6.05309838,30604,45,0,297,11476112,-0.28328145,375,375,163.2,297,10945.54329
-109.28,-108.5777778,160.6,7.394700805,31360,46,0,297,11759435,-0.2718556,375,375,163.2,304,11192.11659
-107.54,-105.8257813,167.2,8.835632405,32000,47,0,287,11999227,-0.2734846,375,375,167.2,287,11435.61301
-96.445,-100.2973294,168.3,56.46937821,32674,48,10.15186682,285,12251249,-0.25808036,373.14,375,168.3,285,11681.83266
-99.289,-94.47520436,181.5,43.17848746,33408,49,5.319501856,252,12525171,-0.2354016,374.23,375,181.5,252,11927.45356
-89.297,-85.31311728,190.8,62.81243739,34056,50,16.70974566,228,12765884,-0.22230612,371.38,375,190.8,228,12175.19811
-82.184,-74.63877551,178.4,71.16618821,34791,51,19.52265095,228,13037565,-0.18449578,370.19,375,190.8,259,12421.28416
-64.789,-66.11589896,192.9,88.26381693,35464,52,21.18838361,223,13285795,-0.1705133,367.82,375,192.9,223,12667.94387
-80.241,-68.45724638,191.2,68.01310035,36154,53,12.79865618,223,13540418,-0.17397851,371.88,375,192.9,227,12913.72005
-99.268,-98.13441467,184.1,26.29476328,36863,54,3.283458542,223,13805675,-0.24963886,374.67,375,192.9,245,13161.2183
-89.43,-88.59337349,189.3,49.241317,37527,55,7.967659631,223,14052915,-0.22701003,373.58,375,192.9,232,13406.83639
-83.852,-80.63170732,191.2,61.57517597,38224,56,14.24596434,223,14311766,-0.20454983,371.45,375,192.9,227,13652.8516
-48.075,-47.5,198.4,97.15515465,38930,57,24.39777859,209,14569275,-0.116416685,365.78,375,198.4,209,13900.48592
-0.3,15.44291553,199.3,120.1896859,39664,58,32.02096813,207,14826352,0.05783504,355.76,375,199.3,207,14144.63038
13.11,28.76852861,197.9,123.0566296,40398,59,38.6167632,207,15080567,0.09419523,348.84,375,199.3,211,14388.55126
54.755,52.5668435,212.1,123.5268306,41152,60,42.32891565,175,15335914,0.16842785,338.27,375,212.1,175,14630.79193
47.201,68.50694981,206.4,124.9990612,41929,61,42.77041501,175,15593832,0.22111344,339.54,375,212.1,189,14877.1068
91.127,92.7313602,203.1,115.2127665,42723,62,47.96442327,175,15851107,0.3019749,322.71,375,212.1,198,15123.34408
102.723,112.5818966,206.6,107.6133029,43535,63,47.59035196,175,16107696,0.37097633,319.28,375,212.1,189,15369.58822
129.441,126.219928,207,87.58103002,44368,64,44.40563027,175,16363585,0.42175183,308,375,212.1,188,15614.42276
131.829,130.2105758,208.8,89.83324918,45219,65,49.47526554,175,16621077,0.44717574,301.41,375,212.1,183,15857.04827
144.03,140.8462704,206.2,74.1388933,46077,66,44.50102358,175,16877356,0.48320544,295.83,375,212.1,190,16101.38934
153.89,153.0612571,205.9,66.68525399,46952,67,46.473316,175,17129505,0.5316182,284.47,375,212.1,191,16345.89189
159.74,155.8240395,205.2,46.79978846,47863,68,43.84725647,175,17390004,0.5688168,288.91,375,212.1,192,16591.19299
167.32,159.2940659,210.4,39.33103101,48773,69,36.45437011,175,17644873,0.5784395,275.83,375,212.1,179,16837.7214
161.033,164.6881338,210.1,47.97711341,49700,70,41.73288751,175,17901925,0.609145,285.19,375,212.1,180,17085.4564
165.242,166.7250269,210.6,42.06028811,50631,71,42.72879474,175,18156559,0.6166788,279.51,375,212.1,179,17330.8539
178.259,170.5803758,209.8,14.12114793,51589,72,35.1260587,175,18412771,0.65087575,259.4,375,212.1,181,17576.04233
171.152,171.4514841,209.3,38.86765102,52566,73,40.38910744,175,18671174,0.66627496,266.6,375,212.1,182,17821.78341
174.879,172.5118731,212,42.39326195,53543,74,37.11336552,175,18925771,0.6685815,256.09,375,212.1,175,18066.43527
181.013,175.9711423,215,15.7299692,54541,75,39.24334338,168,19183465,0.6999839,252.6,375,215,168,18312.54567
176.018,177.378806,215.9,29.04340676,55546,76,36.46158938,166,19440123,0.7097911,259.65,375,215.9,166,18557.44294
182.292,178.7765174,217.2,15.02401864,56551,77,37.56306164,162,19694304,0.7124801,249.58,375,217.2,162,18802.39194
185.67,181.382659,215.7,14.50092756,57589,78,35.75379141,162,19951951,0.74893546,240.92,375,217.2,166,19049.09833
178.954,181.3353167,217.2,42.0562324,58631,79,35.3128815,162,20207871,0.7503529,246.02,375,217.2,162,19297.53451
183.58,183.3634378,216.7,14.83167556,59684,80,36.77064046,162,20463631,0.7660171,246,375,217.2,164,19547.26453
180.794,185.3994429,215.5,41.95507793,60761,81,37.77944415,162,20720917,0.7940393,241.44,375,217.2,167,19796.06376
